,Executavel,Tam_Tabuleiro,Num_Iteracoes,Num_Threads,Tempo
0,C,32,256,1,0.0111352
1,C,32,256,4,0.033274399999999996
2,C,32,256,8,0.0165888
3,C,32,256,16,0.020244400000000003
4,C,32,512,1,0.021516399999999998
5,C,32,512,4,0.0675272
6,C,32,512,8,0.0315652
7,C,32,512,16,0.0375194
8,C,32,1024,1,0.042961799999999994
9,C,32,1024,4,0.1352284
10,C,32,1024,8,0.06171920000000001
11,C,32,1024,16,0.0728226
12,C,128,256,1,0.1744112
13,C,128,256,4,0.1233638
14,C,128,256,8,0.07152
15,C,128,256,16,0.0871898
16,C,128,512,1,0.3453968
17,C,128,512,4,0.2321206
18,C,128,512,8,0.1229476
19,C,128,512,16,0.11418239999999999
20,C,128,1024,1,0.3349284
21,C,128,1024,4,0.289742
22,C,128,1024,8,0.1730032
23,C,128,1024,16,0.1774184
24,C,512,256,1,1.3648539999999998
25,C,512,256,4,0.4117858
26,C,512,256,8,0.24091559999999998
27,C,512,256,16,0.20239479999999999
28,C,512,512,1,2.7058778
29,C,512,512,4,0.7821007999999999
30,C,512,512,8,0.45363319999999996
31,C,512,512,16,0.4143008
32,C,512,1024,1,5.3785702
33,C,512,1024,4,1.5346298
34,C,512,1024,8,0.8723433999999999
35,C,512,1024,16,0.8581274000000001
36,C,1024,256,1,5.4825642
37,C,1024,256,4,1.474258
38,C,1024,256,8,0.8927004000000001
39,C,1024,256,16,0.826937
40,C,1024,512,1,10.8254108
41,C,1024,512,4,2.9308183999999997
42,C,1024,512,8,1.7441901999999998
43,C,1024,512,16,1.6807392
44,C,1024,1024,1,21.6367306
45,C,1024,1024,4,5.968168799999999
46,C,1024,1024,8,3.4823756
47,C,1024,1024,16,3.4585012000000006
