,Executavel,Tam_Tabuleiro,Num_Iteracoes,Num_Threads,Tempo_Conc,Tempo_Pool
0,Go,32,256,1,0.0197970514,0.0197970514
1,Go,32,256,4,0.0189998654,0.013960762800000002
2,Go,32,256,8,0.0187031664,0.0144975384
3,Go,32,256,16,0.018793545199999998,0.015288584
4,Go,32,512,1,0.0391079618,0.0391079618
5,Go,32,512,4,0.0368576106,0.027874881
6,Go,32,512,8,0.03172349519999999,0.0250816852
7,Go,32,512,16,0.0318467596,0.026008738599999998
8,Go,32,1024,1,0.0779684136,0.0779684136
9,Go,32,1024,4,0.0701817406,0.054748470199999996
10,Go,32,1024,8,0.0612415948,0.0508218426
11,Go,32,1024,16,0.06336657479999999,0.0511032872
12,Go,128,256,1,0.3157908094,0.3157908094
13,Go,128,256,4,0.07129111460000001,0.1001679652
14,Go,128,256,8,0.0705249802,0.0934878948
15,Go,128,256,16,0.0689409756,0.08609786579999999
16,Go,128,512,1,0.5016148602,0.5016148602
17,Go,128,512,4,0.11925011379999999,0.12050550059999998
18,Go,128,512,8,0.0998168334,0.10211670999999997
19,Go,128,512,16,0.0929841552,0.09919078479999999
20,Go,128,1024,1,0.6258522980000001,0.6258522980000001
21,Go,128,1024,4,0.1836872458,0.2205770446
22,Go,128,1024,8,0.1789663136,0.1807306914
23,Go,128,1024,16,0.1528461042,0.1884137328
24,Go,512,256,1,2.5325618824,2.5325618824
25,Go,512,256,4,0.4908444470000001,0.7599608904
26,Go,512,256,8,0.4355838692,0.5220985034000001
27,Go,512,256,16,0.44992640640000003,0.474078455
28,Go,512,512,1,5.0263080856,5.0263080856
29,Go,512,512,4,0.9670416853999999,1.4822835166
30,Go,512,512,8,0.9129823088,1.0463652529999998
31,Go,512,512,16,0.9117453038000001,0.9427240319999999
32,Go,512,1024,1,9.9570635568,9.9570635568
33,Go,512,1024,4,1.8910042204,2.8534214018
34,Go,512,1024,8,1.8232567154,1.9299971360000001
35,Go,512,1024,16,1.8379373716,1.8822779466
36,Go,1024,256,1,10.0715736706,10.0715736706
37,Go,1024,256,4,1.8180942626,2.9102037852000002
38,Go,1024,256,8,1.7481180818,1.802243335
39,Go,1024,256,16,1.7621619253999998,1.7677409546
40,Go,1024,512,1,19.9548098196,19.9548098196
41,Go,1024,512,4,3.4286633693999997,5.698847735599999
42,Go,1024,512,8,3.5036399398,3.6227999611999997
43,Go,1024,512,16,3.5238853428,3.5804952452000003
44,Go,1024,1024,1,39.823869625,39.823869625
45,Go,1024,1024,4,6.7732998146,11.3528560568
46,Go,1024,1024,8,7.0165031095999995,7.096636339599999
47,Go,1024,1024,16,7.0386071118,7.139011644199999
